time,open,high,low,close,tick_volume,spread,real_volume,returns,atr,rsi,ema_fast,ema_slow,vwap,signal,stop_loss,take_profit_1,take_profit_2,position,strategy_returns,cumulative,total_commission
2025-08-26 23:30:00,3390.25,3391.14,3390.02,3391.07,349,13,0,0.00025072119213520594,1.8592857142857286,81.23476848091019,3382.0563168060007,3378.834849855353,3378.9371309230955,hold,,,,1.0,0.0008494733265378418,1.0014700000000003,
2025-08-26 23:45:00,3391.08,3393.31,3390.86,3392.96,356,15,0,0.0005573462063594992,1.8414285714285532,82.9896907216498,3382.4839122253734,3378.9753986130113,3379.041404193183,hold,,,,0.33333333333333326,0.003261489702359066,1.0047362840922216,
2025-08-27 01:00:00,3390.76,3391.77,3389.36,3389.36,437,15,0,-0.0010610204659058375,1.9099999999999844,74.83399734395766,3382.753562726339,3379.078727980046,3379.1463303181426,hold,,,,0.0,0.0034873112846327547,1.0082401122738165,
2025-08-27 01:15:00,3389.45,3390.39,3388.76,3389.68,594,5,0,9.441310453883744e-05,1.9264285714285572,76.30019749835415,3383.0251877174633,3379.184213273777,3379.2788128885577,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 01:30:00,3389.71,3392.03,3389.71,3390.78,595,17,0,0.0003245144084398355,1.9357142857142793,76.68393782383487,3383.3292980030533,3379.299594236227,3379.423601487407,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 01:45:00,3390.8,3391.4,3390.31,3391.06,480,18,0,8.257687021862026e-05,1.8842857142856897,76.72915319974172,3383.6324627872473,3379.416613199051,3379.5386227686326,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 02:00:00,3391.15,3392.13,3390.64,3391.7,508,14,0,0.00018873154706788853,1.8685714285714181,75.27472527472503,3383.9488367955905,3379.5388359532894,3379.6638093667093,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 02:15:00,3391.65,3392.98,3391.6,3391.65,506,17,0,-1.4741869858725387e-05,1.8771428571428714,72.74085138162961,3384.2508431957635,3379.659345048282,3379.7919806546406,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 02:30:00,3391.66,3392.26,3390.3,3390.53,541,18,0,-0.00033022275293737025,1.7550000000000117,59.438775510205716,3384.497084639067,3379.767510769195,3379.9146927036027,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 02:45:00,3390.55,3391.79,3390.06,3390.87,583,17,0,0.00010027930736478119,1.7914285714285663,59.98322147651122,3384.7470028885155,3379.8779832988544,3380.042531851793,hold,,,,0.0,0.0,1.0082401122738165,
