time,open,high,low,close,tick_volume,spread,real_volume,returns,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,position,strategy_returns,cumulative,total_commission
2025-10-01 09:00:00,3863.3,3864.39,3858.59,3858.66,1030,9,0,-0.0012398245091822524,37.03837798696429,4.977499999999987,1.1464667403722102,sell,BEARISH,1.0,3866.12625,3843.7275,-1.0,0.0047877019030864165,1.0052699999999999,
2025-10-01 09:15:00,3858.58,3861.84,3853.35,3861.84,1127,5,0,0.0008241202904635259,47.35169491525404,5.218000000000006,1.1717416689122426,sell,BEARISH,1.0,3869.6670000000004,3846.186,-0.6666666666666666,0.0019794919992703885,1.0072599239221065,
2025-10-01 09:30:00,3862.04,3864.84,3859.3,3863.83,1029,5,0,0.0005152984069769495,53.03030303030286,5.375,1.1967848236551457,hold,NEUTRAL,1.0,,,0.0,-0.0020773781742841058,1.0051674641403197,
2025-10-01 09:45:00,3863.9,3864.77,3857.96,3859.21,1060,7,0,-0.0011957047799722176,43.256681168426866,5.549000000000001,1.2172062823550032,sell,BEARISH,1.0,3867.5335,3842.563,-1.0,-0.005140898730480958,1.0,
2025-10-01 10:00:00,3859.19,3867.16,3859.03,3866.69,1116,12,0,0.0019382205166342814,53.51323828920617,5.542999999999983,1.1972439414229508,buy,BULLISH,1.0,3858.3755,3883.319,-1.0,-0.007480000000000042,0.99252,
2025-10-01 10:15:00,3866.63,3871.54,3866.16,3870.9,1136,7,0,0.0010887865331847824,60.751264146401084,5.518499999999994,1.1827046720960115,buy,BULLISH,1.0,3862.62225,3887.4555,-1.0,-0.004241728126385347,0.9883099999999999,
2025-10-01 10:30:00,3870.89,3874.13,3868.19,3868.96,1169,10,0,-0.0005011754372368227,59.589041095890664,5.668000000000006,1.2097152857813627,buy,BULLISH,1.0,3860.458,3885.964,-1.0,0.0019629468486608292,0.99025,
2025-10-01 10:45:00,3869.1,3879.88,3869.09,3879.2,1165,11,0,0.00264670609155937,67.3660118252914,5.763000000000011,1.203634085213032,buy,BULLISH,1.0,3870.5555,3896.489,0.0,-0.02028954580109532,0.9701582772704653,
2025-10-01 11:00:00,3879.23,3889.06,3879.09,3888.23,1244,9,0,0.002327799546298248,74.7639919082946,5.901999999999998,1.1962866872060953,buy,STRONG_BULLISH,1.0,3879.377,3905.936,1.0,0.03075964348157112,1.0,
2025-10-01 11:15:00,3888.06,3895.34,3887.92,3891.82,1226,5,0,0.0009232992904226744,73.6860608191253,6.143499999999994,1.227129274528599,buy,STRONG_BULLISH,1.0,3882.60475,3910.2505,0.33333333333333326,0.003489140867921181,1.0034891408679212,
