time,open,high,low,close,tick_volume,spread,real_volume
2025-01-17 18:00:00,2714.33,2717.29,2713.62,2716.12,4528,5,0
2025-01-17 19:00:00,2716.05,2716.6,2710.67,2712.54,4043,5,0
2025-01-17 20:00:00,2712.66,2713.28,2705.44,2705.56,4009,5,0
2025-01-17 21:00:00,2705.75,2707.17,2702.86,2703.19,3818,5,0
2025-01-17 22:00:00,2703.17,2704.18,2699.8,2700.71,4080,5,0
2025-01-17 23:00:00,2700.45,2703.04,2698.47,2702.92,1245,8,0
2025-01-20 01:00:00,2703.09,2703.79,2691.22,2696.48,2326,5,0
2025-01-20 02:00:00,2696.48,2696.48,2692.67,2694.46,1840,5,0
2025-01-20 03:00:00,2694.46,2695.93,2689.26,2693.73,4821,5,0
2025-01-20 04:00:00,2693.87,2698.0,2693.61,2697.45,3529,5,0
2025-01-20 05:00:00,2697.51,2704.03,2697.43,2703.61,2956,5,0
2025-01-20 06:00:00,2703.69,2706.53,2702.21,2705.98,2599,5,0
2025-01-20 07:00:00,2705.89,2707.53,2703.67,2707.4,3112,5,0
2025-01-20 08:00:00,2707.37,2713.76,2706.63,2711.31,3635,5,0
2025-01-20 09:00:00,2711.25,2711.85,2702.88,2703.53,3265,5,0
2025-01-20 10:00:00,2703.68,2707.94,2702.99,2706.95,3032,5,0
2025-01-20 11:00:00,2706.78,2708.81,2703.04,2706.14,3188,5,0
2025-01-20 12:00:00,2706.03,2709.86,2705.29,2708.42,2976,5,0
2025-01-20 13:00:00,2708.22,2712.57,2704.78,2708.29,3347,5,0
2025-01-20 14:00:00,2708.44,2710.18,2706.13,2708.04,2956,5,0
2025-01-20 15:00:00,2708.02,2710.53,2701.52,2705.15,6073,5,0
2025-01-20 16:00:00,2705.73,2711.8,2704.17,2710.18,6564,5,0
2025-01-20 17:00:00,2709.99,2710.53,2705.31,2706.89,4675,5,0
2025-01-20 18:00:00,2706.84,2709.12,2703.12,2707.47,3713,5,0
2025-01-20 19:00:00,2707.42,2711.21,2703.33,2706.91,2998,5,0
2025-01-20 20:00:00,2707.1,2710.96,2704.24,2710.67,1628,11,0
2025-01-20 21:00:00,2710.75,2711.04,2706.19,2706.7,736,13,0
2025-01-21 01:00:00,2708.28,2711.04,2706.28,2710.36,1776,7,0
2025-01-21 02:00:00,2710.45,2711.63,2702.86,2705.35,3368,12,0
2025-01-21 03:00:00,2704.94,2719.24,2702.81,2718.07,5094,12,0
2025-01-21 04:00:00,2718.08,2725.85,2717.93,2724.85,4398,12,0
2025-01-21 05:00:00,2724.84,2726.9,2721.1,2724.24,3939,12,0
2025-01-21 06:00:00,2724.33,2727.9,2722.86,2727.4,3024,12,0
2025-01-21 07:00:00,2727.59,2729.22,2725.35,2726.12,3517,5,0
2025-01-21 08:00:00,2726.0,2729.48,2723.71,2724.15,3816,5,0
2025-01-21 09:00:00,2724.17,2732.84,2722.7,2729.77,4040,10,0
2025-01-21 10:00:00,2729.3,2729.49,2721.37,2723.27,4808,6,0
2025-01-21 11:00:00,2723.21,2724.12,2717.2,2720.7,5090,12,0
2025-01-21 12:00:00,2720.7,2724.04,2718.93,2719.73,4164,12,0
2025-01-21 13:00:00,2719.75,2724.54,2716.43,2724.07,4048,10,0
2025-01-21 14:00:00,2724.24,2727.26,2721.9,2726.76,4455,6,0
2025-01-21 15:00:00,2726.55,2730.17,2724.61,2726.36,5426,7,0
2025-01-21 16:00:00,2726.41,2738.48,2725.24,2738.11,5537,5,0
2025-01-21 17:00:00,2738.2,2740.36,2734.58,2738.86,5719,5,0
2025-01-21 18:00:00,2738.84,2745.2,2737.76,2743.14,5077,5,0
2025-01-21 19:00:00,2743.14,2745.83,2740.02,2740.19,4108,7,0
2025-01-21 20:00:00,2740.0,2746.02,2739.83,2744.48,3637,5,0
2025-01-21 21:00:00,2744.49,2745.37,2741.39,2742.77,3289,5,0
2025-01-21 22:00:00,2742.64,2743.26,2740.01,2742.54,3182,7,0
2025-01-21 23:00:00,2742.49,2745.68,2741.79,2744.69,1278,13,0
2025-01-22 01:00:00,2745.17,2745.61,2741.1,2744.22,2321,6,0
2025-01-22 02:00:00,2744.38,2749.18,2742.78,2748.23,2337,12,0
2025-01-22 03:00:00,2748.25,2749.98,2746.67,2748.12,4214,7,0
2025-01-22 04:00:00,2748.1,2749.73,2746.22,2748.91,3645,11,0
2025-01-22 05:00:00,2748.93,2751.12,2747.88,2750.25,3098,8,0
2025-01-22 06:00:00,2750.26,2752.98,2749.32,2752.16,2495,5,0
